E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/manifest.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-account__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-account__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-account__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-account__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-detail__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-detail__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-detail__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-detail__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-detail__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-month__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-month__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-month__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-month__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-month__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-week__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-week__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-week__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-week__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar-week__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-calendar__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-children__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-children__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-children__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-children__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-children__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-hebrew-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-hebrew-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-help-open__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-help-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-help-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-help-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-help-open__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-home__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-home__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-home__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-home__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-home__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-learning__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-learning__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-learning__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-learning__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-learning__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-messages__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-messages__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-messages__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-messages__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-messages__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-mobile-nav__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-mobile-nav__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-mobile-nav__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-providers__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-providers__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-providers__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-providers__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/parent-providers__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-account__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-account__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-account__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-account__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-home__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-home__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-home__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-home__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-home__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-messages__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-messages__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-messages__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-messages__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-messages__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-mobile-nav__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-mobile-nav__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-mobile-nav__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-payment__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-payment__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-payment__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-payment__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-payment__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-questions__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-questions__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-questions__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-questions__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-questions__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-schedule__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-schedule__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-schedule__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-schedule__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-schedule__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-worksheets__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-worksheets__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-worksheets__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-worksheets__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/provider-worksheets__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-assignments__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-assignments__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-assignments__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-assignments__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-assignments__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-bot__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-bot__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-bot__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-bot__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-bot__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-detail__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-detail__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-detail__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-detail__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-detail__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-month__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-month__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-month__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-month__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-month__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-week__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-week__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-week__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-week__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar-week__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-calendar__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-documents__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-documents__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-documents__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-documents__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-documents__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-goals__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-goals__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-goals__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-goals__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-goals__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-hebrew-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-hebrew-calendar__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-help_account__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-help_account__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-help_account__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-help_account__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-help_account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-helper-open__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-helper-open__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-helper-open__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-helper-open__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-helper-open__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-mobile-nav__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-mobile-nav__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-mobile-nav__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-overview__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-overview__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-overview__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-overview__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-overview__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-questions__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-questions__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-questions__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-questions__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-master-execution-screenshots/student-questions__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-calendar-polish-git-status.txt	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-list-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-list__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-month-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-month__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-week-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-desktop-week__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-event-detail-drawer__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-mobile-detail-drawer__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-parent-mobile-list__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-student-desktop-list__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-student-desktop-month__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-student-desktop-week__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-student-mobile-detail-drawer__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/calendar-student-mobile-list__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/issues.csv	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/manifest.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-account-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-account-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-account-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-account-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-account-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-calendar-list-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-calendar-list-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-calendar-list-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-calendar-list-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-calendar-list-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-child-overview-en-1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-child-overview-en-360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-child-overview-en-390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-child-overview-en-430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-child-overview-en-768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-account__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-account__360x800.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-account__390x844.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-account__430x932.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-account__768x1024.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/qa-runs/2026-06-11-parent-student-polish-screenshots/after/parent-en-calendar__1440x1000.png	Not confidently attributable to the focused release; needs Shloimie review.
